Region,Division_IPC,Fecha,Valor_IPC
Nacional,Comunicación,2017-02-01,4.1
Nacional,Recreación y cultura,2017-02-01,0.6
Nacional,Educación,2017-02-01,3.2
Nacional,Restaurantes y hoteles,2017-02-01,1.7
Nacional,Bienes y servicios varios,2017-02-01,1.8
GBA,Nivel general,2017-02-01,2.5
GBA,Alimentos y bebidas no alcohólicas,2017-02-01,1.8
GBA,Bebidas alcohólicas y tabaco,2017-02-01,5.0
GBA,Prendas de vestir y calzado,2017-02-01,-0.5
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2017-02-01,8.4
GBA,Equipamiento y mantenimiento del hogar,2017-02-01,0.3
GBA,Salud,2017-02-01,3.3
GBA,Transporte,2017-02-01,1.8
GBA,Comunicación,2017-02-01,4.1
GBA,Recreación y cultura,2017-02-01,0.1
GBA,Educación,2017-02-01,4.4
GBA,Restaurantes y hoteles,2017-02-01,1.8
GBA,Bienes y servicios varios,2017-02-01,2.0
Pampeana,Nivel general,2017-02-01,1.7
Pampeana,Alimentos y bebidas no alcohólicas,2017-02-01,1.7
Pampeana,Bebidas alcohólicas y tabaco,2017-02-01,3.9
Pampeana,Prendas de vestir y calzado,2017-02-01,0.3
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2017-02-01,2.3
Pampeana,Equipamiento y mantenimiento del hogar,2017-02-01,0.7
Pampeana,Salud,2017-02-01,2.3
Pampeana,Transporte,2017-02-01,2.0
Pampeana,Comunicación,2017-02-01,4.6
Pampeana,Recreación y cultura,2017-02-01,0.9
Pampeana,Educación,2017-02-01,1.6
Pampeana,Restaurantes y hoteles,2017-02-01,1.3
Pampeana,Bienes y servicios varios,2017-02-01,1.9
Noroeste,Nivel general,2017-02-01,2.1
Noroeste,Alimentos y bebidas no alcohólicas,2017-02-01,2.8
Noroeste,Bebidas alcohólicas y tabaco,2017-02-01,4.1
Noroeste,Prendas de vestir y calzado,2017-02-01,-0.1
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-02-01,6.0
Noroeste,Equipamiento y mantenimiento del hogar,2017-02-01,0.2
Noroeste,Salud,2017-02-01,1.3
Noroeste,Transporte,2017-02-01,2.6
Noroeste,Comunicación,2017-02-01,2.9
Noroeste,Recreación y cultura,2017-02-01,0.1
Noroeste,Educación,2017-02-01,2.3
Noroeste,Restaurantes y hoteles,2017-02-01,0.9
Noroeste,Bienes y servicios varios,2017-02-01,1.5
Noreste,Nivel general,2017-02-01,1.8
Noreste,Alimentos y bebidas no alcohólicas,2017-02-01,1.6
Noreste,Bebidas alcohólicas y tabaco,2017-02-01,3.5
Noreste,Prendas de vestir y calzado,2017-02-01,0.1
Noreste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-02-01,2.6
Noreste,Equipamiento y mantenimiento del hogar,2017-02-01,0.4
Noreste,Salud,2017-02-01,2.6
Noreste,Transporte,2017-02-01,0.9
Noreste,Comunicación,2017-02-01,4.3
Noreste,Recreación y cultura,2017-02-01,2.0
Noreste,Educación,2017-02-01,8.0
Noreste,Restaurantes y hoteles,2017-02-01,3.9
Noreste,Bienes y servicios varios,2017-02-01,1.1
Cuyo,Nivel general,2017-02-01,1.5
Cuyo,Alimentos y bebidas no alcohólicas,2017-02-01,1.8
Cuyo,Bebidas alcohólicas y tabaco,2017-02-01,2.3
Cuyo,Prendas de vestir y calzado,2017-02-01,-2.2
Cuyo,"Vivienda, agua, electricidad, gas y otros combustibles",2017-02-01,3.7
Cuyo,Equipamiento y mantenimiento del hogar,2017-02-01,0.2
Cuyo,Salud,2017-02-01,2.3
Cuyo,Transporte,2017-02-01,2.3
Cuyo,Comunicación,2017-02-01,2.2
Cuyo,Recreación y cultura,2017-02-01,1.6
Cuyo,Educación,2017-02-01,2.6
Cuyo,Restaurantes y hoteles,2017-02-01,1.9
Cuyo,Bienes y servicios varios,2017-02-01,1.1
Patagonia,Nivel general,2017-02-01,1.7
Patagonia,Alimentos y bebidas no alcohólicas,2017-02-01,1.3
Patagonia,Bebidas alcohólicas y tabaco,2017-02-01,4.1
Patagonia,Prendas de vestir y calzado,2017-02-01,1.4
Patagonia,"Vivienda, agua, electricidad, gas y otros combustibles",2017-02-01,1.5
Patagonia,Equipamiento y mantenimiento del hogar,2017-02-01,0.2
Patagonia,Salud,2017-02-01,2.2
Patagonia,Transporte,2017-02-01,1.9
Patagonia,Comunicación,2017-02-01,4.0
Patagonia,Recreación y cultura,2017-02-01,1.6
Patagonia,Educación,2017-02-01,-0.3
Patagonia,Restaurantes y hoteles,2017-02-01,3.3
Patagonia,Bienes y servicios varios,2017-02-01,1.8
Nacional,Nivel general,2017-03-01,2.4
Nacional,Alimentos y bebidas no alcohólicas,2017-03-01,2.8
Nacional,Bebidas alcohólicas y tabaco,2017-03-01,1.9
Nacional,Prendas de vestir y calzado,2017-03-01,3.4
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2017-03-01,3.6
Nacional,Equipamiento y mantenimiento del hogar,2017-03-01,0.8
Nacional,Salud,2017-03-01,2.0
Nacional,Transporte,2017-03-01,1.2
Nacional,Comunicación,2017-03-01,3.2
Nacional,Recreación y cultura,2017-03-01,1.7
Nacional,Educación,2017-03-01,10.9
Nacional,Restaurantes y hoteles,2017-03-01,1.0
Nacional,Bienes y servicios varios,2017-03-01,1.8
GBA,Nivel general,2017-03-01,2.4
GBA,Alimentos y bebidas no alcohólicas,2017-03-01,3.5
GBA,Bebidas alcohólicas y tabaco,2017-03-01,1.5
GBA,Prendas de vestir y calzado,2017-03-01,4.8
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2017-03-01,2.2
GBA,Equipamiento y mantenimiento del hogar,2017-03-01,0.9
GBA,Salud,2017-03-01,1.9
GBA,Transporte,2017-03-01,1.0
GBA,Comunicación,2017-03-01,2.4
GBA,Recreación y cultura,2017-03-01,1.4
GBA,Educación,2017-03-01,6.7
GBA,Restaurantes y hoteles,2017-03-01,1.0
GBA,Bienes y servicios varios,2017-03-01,1.4
Pampeana,Nivel general,2017-03-01,2.2
Pampeana,Alimentos y bebidas no alcohólicas,2017-03-01,2.3
Pampeana,Bebidas alcohólicas y tabaco,2017-03-01,2.4
Pampeana,Prendas de vestir y calzado,2017-03-01,2.5
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2017-03-01,3.0
Pampeana,Equipamiento y mantenimiento del hogar,2017-03-01,0.5
Pampeana,Salud,2017-03-01,1.9
Pampeana,Transporte,2017-03-01,1.2
Pampeana,Comunicación,2017-03-01,4.0
Pampeana,Recreación y cultura,2017-03-01,1.9
Pampeana,Educación,2017-03-01,12.5
Pampeana,Restaurantes y hoteles,2017-03-01,1.1
Pampeana,Bienes y servicios varios,2017-03-01,2.2
Noroeste,Nivel general,2017-03-01,3.2
Noroeste,Alimentos y bebidas no alcohólicas,2017-03-01,2.0
Noroeste,Bebidas alcohólicas y tabaco,2017-03-01,1.6
Noroeste,Prendas de vestir y calzado,2017-03-01,1.8
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-03-01,12.7
Noroeste,Equipamiento y mantenimiento del hogar,2017-03-01,1.4
Noroeste,Salud,2017-03-01,2.8
Noroeste,Transporte,2017-03-01,0.8
Noroeste,Comunicación,2017-03-01,5.7
Noroeste,Recreación y cultura,2017-03-01,1.6
Noroeste,Educación,2017-03-01,27.1
Noroeste,Restaurantes y hoteles,2017-03-01,1.6
Noroeste,Bienes y servicios varios,2017-03-01,2.1
Noreste,Nivel general,2017-03-01,2.4
Noreste,Alimentos y bebidas no alcohólicas,2017-03-01,1.6
Noreste,Bebidas alcohólicas y tabaco,2017-03-01,1.9
Noreste,Prendas de vestir y calzado,2017-03-01,2.8
Noreste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-03-01,8.9
Noreste,Equipamiento y mantenimiento del hogar,2017-03-01,1.4
Noreste,Salud,2017-03-01,2.3
Noreste,Transporte,2017-03-01,1.1
Noreste,Comunicación,2017-03-01,3.4
Noreste,Recreación y cultura,2017-03-01,0.1
Noreste,Educación,2017-03-01,12.9
Noreste,Restaurantes y hoteles,2017-03-01,2.0
Noreste,Bienes y servicios varios,2017-03-01,1.3
Cuyo,Nivel general,2017-03-01,2.6
Cuyo,Alimentos y bebidas no alcohólicas,2017-03-01,2.3
Cuyo,Bebidas alcohólicas y tabaco,2017-03-01,3.8
Cuyo,Prendas de vestir y calzado,2017-03-01,2.4
Cuyo,"Vivienda, agua, electricidad, gas y otros combustibles",2017-03-01,4.8
Cuyo,Equipamiento y mantenimiento del hogar,2017-03-01,1.0
Cuyo,Salud,2017-03-01,2.0
Cuyo,Transporte,2017-03-01,2.6
Cuyo,Comunicación,2017-03-01,2.9
Cuyo,Recreación y cultura,2017-03-01,2.6
Cuyo,Educación,2017-03-01,9.8
Cuyo,Restaurantes y hoteles,2017-03-01,0.2
Cuyo,Bienes y servicios varios,2017-03-01,2.4
Patagonia,Nivel general,2017-03-01,2.1
Patagonia,Alimentos y bebidas no alcohólicas,2017-03-01,1.7
Patagonia,Bebidas alcohólicas y tabaco,2017-03-01,1.1
Patagonia,Prendas de vestir y calzado,2017-03-01,2.4
Patagonia,"Vivienda, agua, electricidad, gas y otros combustibles",2017-03-01,3.0
Patagonia,Equipamiento y mantenimiento del hogar,2017-03-01,1.0
Patagonia,Salud,2017-03-01,1.6
Patagonia,Transporte,2017-03-01,1.8
Patagonia,Comunicación,2017-03-01,2.0
Patagonia,Recreación y cultura,2017-03-01,2.4
Patagonia,Educación,2017-03-01,15.6
Patagonia,Restaurantes y hoteles,2017-03-01,-0.2
Patagonia,Bienes y servicios varios,2017-03-01,2.0
Nacional,Nivel general,2017-04-01,2.7
Nacional,Alimentos y bebidas no alcohólicas,2017-04-01,2.2
Nacional,Bebidas alcohólicas y tabaco,2017-04-01,2.4
Nacional,Prendas de vestir y calzado,2017-04-01,4.5
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2017-04-01,5.9
Nacional,Equipamiento y mantenimiento del hogar,2017-04-01,1.1
Nacional,Salud,2017-04-01,1.8
Nacional,Transporte,2017-04-01,0.6
Nacional,Comunicación,2017-04-01,6.8
Nacional,Recreación y cultura,2017-04-01,2.6
Nacional,Educación,2017-04-01,2.9
Nacional,Restaurantes y hoteles,2017-04-01,1.9
Nacional,Bienes y servicios varios,2017-04-01,1.8
GBA,Nivel general,2017-04-01,2.6
GBA,Alimentos y bebidas no alcohólicas,2017-04-01,2.3
GBA,Bebidas alcohólicas y tabaco,2017-04-01,2.3
GBA,Prendas de vestir y calzado,2017-04-01,5.1
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2017-04-01,4.6
GBA,Equipamiento y mantenimiento del hogar,2017-04-01,1.0
GBA,Salud,2017-04-01,1.4
GBA,Transporte,2017-04-01,0.5
GBA,Comunicación,2017-04-01,6.8
GBA,Recreación y cultura,2017-04-01,3.4
GBA,Educación,2017-04-01,3.9
GBA,Restaurantes y hoteles,2017-04-01,2.0
GBA,Bienes y servicios varios,2017-04-01,1.9
Pampeana,Nivel general,2017-04-01,2.7
Pampeana,Alimentos y bebidas no alcohólicas,2017-04-01,2.0
Pampeana,Bebidas alcohólicas y tabaco,2017-04-01,2.4
Pampeana,Prendas de vestir y calzado,2017-04-01,5.2
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2017-04-01,7.5
Pampeana,Equipamiento y mantenimiento del hogar,2017-04-01,1.1
Pampeana,Salud,2017-04-01,2.0
Pampeana,Transporte,2017-04-01,0.7
Pampeana,Comunicación,2017-04-01,6.4
Pampeana,Recreación y cultura,2017-04-01,1.6
Pampeana,Educación,2017-04-01,1.8
Pampeana,Restaurantes y hoteles,2017-04-01,1.8
Pampeana,Bienes y servicios varios,2017-04-01,1.6
Noroeste,Nivel general,2017-04-01,2.7
Noroeste,Alimentos y bebidas no alcohólicas,2017-04-01,2.2
Noroeste,Bebidas alcohólicas y tabaco,2017-04-01,2.0
Noroeste,Prendas de vestir y calzado,2017-04-01,3.6
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-04-01,8.6
Noroeste,Equipamiento y mantenimiento del hogar,2017-04-01,1.1
Noroeste,Salud,2017-04-01,2.0
Noroeste,Transporte,2017-04-01,0.5
Noroeste,Comunicación,2017-04-01,6.6
Noroeste,Recreación y cultura,2017-04-01,2.4
Noroeste,Educación,2017-04-01,0.8
Noroeste,Restaurantes y hoteles,2017-04-01,2.0
Noroeste,Bienes y servicios varios,2017-04-01,1.2
Noreste,Nivel general,2017-04-01,2.2
Noreste,Alimentos y bebidas no alcohólicas,2017-04-01,2.8
Noreste,Bebidas alcohólicas y tabaco,2017-04-01,2.9
Noreste,Prendas de vestir y calzado,2017-04-01,0.0
Noreste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-04-01,2.9
Noreste,Equipamiento y mantenimiento del hogar,2017-04-01,1.7
Noreste,Salud,2017-04-01,2.5
Noreste,Transporte,2017-04-01,0.5
Noreste,Comunicación,2017-04-01,8.4
Noreste,Recreación y cultura,2017-04-01,3.2
Noreste,Educación,2017-04-01,1.0
Noreste,Restaurantes y hoteles,2017-04-01,0.4
Noreste,Bienes y servicios varios,2017-04-01,3.1
Cuyo,Nivel general,2017-04-01,3.3
Cuyo,Alimentos y bebidas no alcohólicas,2017-04-01,2.9
Cuyo,Bebidas alcohólicas y tabaco,2017-04-01,2.6
Cuyo,Prendas de vestir y calzado,2017-04-01,3.7
Cuyo,"Vivienda, agua, electricidad, gas y otros combustibles",2017-04-01,9.5
Cuyo,Equipamiento y mantenimiento del hogar,2017-04-01,1.0
Cuyo,Salud,2017-04-01,2.2
Cuyo,Transporte,2017-04-01,0.8
Cuyo,Comunicación,2017-04-01,8.6
Cuyo,Recreación y cultura,2017-04-01,2.1
Cuyo,Educación,2017-04-01,9.2
Cuyo,Restaurantes y hoteles,2017-04-01,2.6
Cuyo,Bienes y servicios varios,2017-04-01,1.3
Patagonia,Nivel general,2017-04-01,2.0
Patagonia,Alimentos y bebidas no alcohólicas,2017-04-01,1.4
Patagonia,Bebidas alcohólicas y tabaco,2017-04-01,2.9
Patagonia,Prendas de vestir y calzado,2017-04-01,0.9
Patagonia,"Vivienda, agua, electricidad, gas y otros combustibles",2017-04-01,3.4
Patagonia,Equipamiento y mantenimiento del hogar,2017-04-01,1.3
Patagonia,Salud,2017-04-01,1.8
Patagonia,Transporte,2017-04-01,1.2
Patagonia,Comunicación,2017-04-01,6.9
Patagonia,Recreación y cultura,2017-04-01,3.7
Patagonia,Educación,2017-04-01,0.3
Patagonia,Restaurantes y hoteles,2017-04-01,2.1
Patagonia,Bienes y servicios varios,2017-04-01,2.3
Nacional,Nivel general,2017-05-01,1.4
Nacional,Alimentos y bebidas no alcohólicas,2017-05-01,1.3
Nacional,Bebidas alcohólicas y tabaco,2017-05-01,1.7
Nacional,Prendas de vestir y calzado,2017-05-01,1.7
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2017-05-01,1.8
Nacional,Equipamiento y mantenimiento del hogar,2017-05-01,2.8
Nacional,Salud,2017-05-01,1.5
Nacional,Transporte,2017-05-01,0.9
Nacional,Comunicación,2017-05-01,0.3
Nacional,Recreación y cultura,2017-05-01,0.7
Nacional,Educación,2017-05-01,1.7
Nacional,Restaurantes y hoteles,2017-05-01,1.5
Nacional,Bienes y servicios varios,2017-05-01,1.3
GBA,Nivel general,2017-05-01,1.3
GBA,Alimentos y bebidas no alcohólicas,2017-05-01,1.1
GBA,Bebidas alcohólicas y tabaco,2017-05-01,1.9
GBA,Prendas de vestir y calzado,2017-05-01,0.6
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2017-05-01,1.9
GBA,Equipamiento y mantenimiento del hogar,2017-05-01,3.0
GBA,Salud,2017-05-01,1.5
GBA,Transporte,2017-05-01,1.1
GBA,Comunicación,2017-05-01,0.0
GBA,Recreación y cultura,2017-05-01,0.9
GBA,Educación,2017-05-01,1.9
GBA,Restaurantes y hoteles,2017-05-01,1.0
GBA,Bienes y servicios varios,2017-05-01,1.4
Pampeana,Nivel general,2017-05-01,1.5
Pampeana,Alimentos y bebidas no alcohólicas,2017-05-01,1.4
Pampeana,Bebidas alcohólicas y tabaco,2017-05-01,1.5
Pampeana,Prendas de vestir y calzado,2017-05-01,2.9
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2017-05-01,1.2
Pampeana,Equipamiento y mantenimiento del hogar,2017-05-01,2.7
Pampeana,Salud,2017-05-01,1.5
Pampeana,Transporte,2017-05-01,0.7
Pampeana,Comunicación,2017-05-01,0.9
Pampeana,Recreación y cultura,2017-05-01,-0.2
Pampeana,Educación,2017-05-01,1.9
Pampeana,Restaurantes y hoteles,2017-05-01,2.0
Pampeana,Bienes y servicios varios,2017-05-01,1.0
Noroeste,Nivel general,2017-05-01,1.5
Noroeste,Alimentos y bebidas no alcohólicas,2017-05-01,1.1
Noroeste,Bebidas alcohólicas y tabaco,2017-05-01,1.8
Noroeste,Prendas de vestir y calzado,2017-05-01,1.9
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-05-01,2.9
Noroeste,Equipamiento y mantenimiento del hogar,2017-05-01,2.8
Noroeste,Salud,2017-05-01,1.6
Noroeste,Transporte,2017-05-01,1.2
Noroeste,Comunicación,2017-05-01,0.2
Noroeste,Recreación y cultura,2017-05-01,1.1
Noroeste,Educación,2017-05-01,0.9
Noroeste,Restaurantes y hoteles,2017-05-01,1.7
Noroeste,Bienes y servicios varios,2017-05-01,1.2
Noreste,Nivel general,2017-05-01,1.9
Noreste,Alimentos y bebidas no alcohólicas,2017-05-01,1.8
Noreste,Bebidas alcohólicas y tabaco,2017-05-01,1.9
Noreste,Prendas de vestir y calzado,2017-05-01,4.0
Noreste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-05-01,1.0
Noreste,Equipamiento y mantenimiento del hogar,2017-05-01,1.8
Noreste,Salud,2017-05-01,2.1
Noreste,Transporte,2017-05-01,1.9
Noreste,Comunicación,2017-05-01,0.4
Noreste,Recreación y cultura,2017-05-01,0.5
Noreste,Educación,2017-05-01,0.0
Noreste,Restaurantes y hoteles,2017-05-01,2.9
Noreste,Bienes y servicios varios,2017-05-01,2.2
Cuyo,Nivel general,2017-05-01,1.7
Cuyo,Alimentos y bebidas no alcohólicas,2017-05-01,1.7
Cuyo,Bebidas alcohólicas y tabaco,2017-05-01,1.2
Cuyo,Prendas de vestir y calzado,2017-05-01,2.1
Cuyo,"Vivienda, agua, electricidad, gas y otros combustibles",2017-05-01,2.8
Cuyo,Equipamiento y mantenimiento del hogar,2017-05-01,2.4
Cuyo,Salud,2017-05-01,1.4
Cuyo,Transporte,2017-05-01,0.4
Cuyo,Comunicación,2017-05-01,0.0
Cuyo,Recreación y cultura,2017-05-01,2.7
Cuyo,Educación,2017-05-01,2.3
Cuyo,Restaurantes y hoteles,2017-05-01,0.8
Cuyo,Bienes y servicios varios,2017-05-01,2.0
Patagonia,Nivel general,2017-05-01,1.7
Patagonia,Alimentos y bebidas no alcohólicas,2017-05-01,2.0
Patagonia,Bebidas alcohólicas y tabaco,2017-05-01,1.9
Patagonia,Prendas de vestir y calzado,2017-05-01,1.1
Patagonia,"Vivienda, agua, electricidad, gas y otros combustibles",2017-05-01,3.2
Patagonia,Equipamiento y mantenimiento del hogar,2017-05-01,2.1
Patagonia,Salud,2017-05-01,1.7
Patagonia,Transporte,2017-05-01,0.5
Patagonia,Comunicación,2017-05-01,0.1
Patagonia,Recreación y cultura,2017-05-01,3.3
Patagonia,Educación,2017-05-01,0.2
Patagonia,Restaurantes y hoteles,2017-05-01,0.3
Patagonia,Bienes y servicios varios,2017-05-01,0.9
Nacional,Nivel general,2017-06-01,1.2
Nacional,Alimentos y bebidas no alcohólicas,2017-06-01,0.9
Nacional,Bebidas alcohólicas y tabaco,2017-06-01,0.7
Nacional,Prendas de vestir y calzado,2017-06-01,0.9
Nacional,"Vivienda, agua, electricidad, gas y otros combustibles",2017-06-01,1.8
Nacional,Equipamiento y mantenimiento del hogar,2017-06-01,1.3
Nacional,Salud,2017-06-01,1.5
Nacional,Transporte,2017-06-01,0.7
Nacional,Comunicación,2017-06-01,1.2
Nacional,Recreación y cultura,2017-06-01,2.3
Nacional,Educación,2017-06-01,1.0
Nacional,Restaurantes y hoteles,2017-06-01,1.3
Nacional,Bienes y servicios varios,2017-06-01,1.3
GBA,Nivel general,2017-06-01,1.4
GBA,Alimentos y bebidas no alcohólicas,2017-06-01,1.3
GBA,Bebidas alcohólicas y tabaco,2017-06-01,0.5
GBA,Prendas de vestir y calzado,2017-06-01,0.6
GBA,"Vivienda, agua, electricidad, gas y otros combustibles",2017-06-01,2.4
GBA,Equipamiento y mantenimiento del hogar,2017-06-01,1.4
GBA,Salud,2017-06-01,1.3
GBA,Transporte,2017-06-01,0.3
GBA,Comunicación,2017-06-01,1.9
GBA,Recreación y cultura,2017-06-01,3.0
GBA,Educación,2017-06-01,0.7
GBA,Restaurantes y hoteles,2017-06-01,1.7
GBA,Bienes y servicios varios,2017-06-01,1.0
Pampeana,Nivel general,2017-06-01,1.0
Pampeana,Alimentos y bebidas no alcohólicas,2017-06-01,0.5
Pampeana,Bebidas alcohólicas y tabaco,2017-06-01,0.8
Pampeana,Prendas de vestir y calzado,2017-06-01,1.0
Pampeana,"Vivienda, agua, electricidad, gas y otros combustibles",2017-06-01,1.2
Pampeana,Equipamiento y mantenimiento del hogar,2017-06-01,1.3
Pampeana,Salud,2017-06-01,1.6
Pampeana,Transporte,2017-06-01,0.7
Pampeana,Comunicación,2017-06-01,0.8
Pampeana,Recreación y cultura,2017-06-01,1.8
Pampeana,Educación,2017-06-01,1.9
Pampeana,Restaurantes y hoteles,2017-06-01,1.1
Pampeana,Bienes y servicios varios,2017-06-01,1.7
Noroeste,Nivel general,2017-06-01,0.9
Noroeste,Alimentos y bebidas no alcohólicas,2017-06-01,0.6
Noroeste,Bebidas alcohólicas y tabaco,2017-06-01,0.3
Noroeste,Prendas de vestir y calzado,2017-06-01,2.9
Noroeste,"Vivienda, agua, electricidad, gas y otros combustibles",2017-06-01,0.6
Noroeste,Equipamiento y mantenimiento del hogar,2017-06-01,0.5
